Facility ID,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
390139,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
390142,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
390145,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
390146,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
390147,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
390150,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
390151,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
390153,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
390156,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
390157,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
390160,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
390162,PA,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
390163,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
390164,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
390168,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
390173,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
390174,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
390178,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
390179,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
390180,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
390183,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
390184,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
390185,PA,Acute Care Hospitals,Government - Local,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
390192,PA,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Not Available
390194,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
390195,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average
390197,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Not Available
390198,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available
390199,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
390201,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average
390203,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
390204,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
390211,PA,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
390217,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
390219,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
390220,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
390222,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
390223,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
390225,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
390226,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average
390228,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
390231,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
390233,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
390236,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
390237,PA,Acute Care Hospitals,Proprietary,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
390256,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average
390258,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
390265,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
390266,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
390267,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
390268,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
390270,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
390272,PA,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
390278,PA,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
390304,PA,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available
390307,PA,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
390312,PA,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Not Available,Below the national average,Not Available,Above the national average,Same as the national average,Not Available,Not Available
390314,PA,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
390316,PA,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Not Available
390321,PA,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Same as the national average
390322,PA,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
390323,PA,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
390324,PA,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
390325,PA,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
390326,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
390327,PA,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
390328,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
390329,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
390330,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
390331,PA,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
390332,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
391300,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Below the national average,Same as the national average,Not Available
391301,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Same as the national average,Same as the national average
391302,PA,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available
391303,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Above the national average,Below the national average
391304,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
391305,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
391306,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
391307,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
391308,PA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available
391309,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Above the national average,Below the national average,Not Available,Above the national average,Not Available
391312,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
391313,PA,Critical Access Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
391314,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average
391315,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
391316,PA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
393302,PA,Childrens,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
393303,PA,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
393304,PA,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
393307,PA,Childrens,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
393309,PA,Childrens,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394001,PA,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394004,PA,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394008,PA,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394012,PA,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394014,PA,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394016,PA,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394020,PA,Psychiatric,Voluntary non-profit - Church,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394023,PA,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394026,PA,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394027,PA,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394033,PA,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394034,PA,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394038,PA,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394039,PA,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394040,PA,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394043,PA,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394049,PA,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394050,PA,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394051,PA,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394052,PA,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394053,PA,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394054,PA,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
394055,PA,Psychiatric,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400001,PR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
400003,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400004,PR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
400005,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400006,PR,Acute Care Hospitals,Proprietary,Yes,1,Not Available,Not Available,Below the national average,Below the national average,Below the national average,Below the national average,Not Available
400007,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400010,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400011,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400012,PR,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400013,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
400014,PR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
400015,PR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400016,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Same as the national average,Below the national average,Not Available,Below the national average,Not Available,Not Available
400018,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
400019,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
400021,PR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
400022,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Below the national average,Not Available
400032,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400044,PR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Same as the national average,Below the national average,Not Available,Not Available,Not Available,Not Available
400048,PR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Below the national average,Not Available
400061,PR,Acute Care Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400079,PR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
400087,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400098,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400102,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Below the national average,Below the national average,Below the national average,Not Available
400103,PR,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available
400104,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400105,PR,Acute Care Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400106,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
400109,PR,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Not Available,Not Available
400110,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400111,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
400112,PR,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
400113,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400114,PR,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Same as the national average,Not Available
400115,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400117,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400118,PR,Acute Care Hospitals,Proprietary,Yes,1,Not Available,Not Available,Below the national average,Below the national average,Same as the national average,Not Available,Not Available
400120,PR,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Not Available,Below the national average,Not Available,Below the national average,Not Available,Not Available
400122,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400123,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
400124,PR,Acute Care Hospitals,Government - State,No,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
400125,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available
400126,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400127,PR,Acute Care Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400128,PR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400130,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400131,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400132,PR,Acute Care Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400133,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400134,PR,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
400135,PR,Acute Care Hospitals,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
403301,PR,Childrens,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
404004,PR,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
404005,PR,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
404007,PR,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
404008,PR,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
404009,PR,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
410004,RI,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
410005,RI,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Not Available
410006,RI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
410007,RI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
410008,RI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
410009,RI,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
410010,RI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Above the national average,Not Available
410011,RI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
410012,RI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
410013,RI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
414000,RI,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
414003,RI,Psychiatric,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
420002,SC,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
420004,SC,Acute Care Hospitals,Government - State,Yes,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
420005,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
420007,SC,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
420009,SC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
