,Facility_ID,State,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_overall_rating,Mortality_national_comparison,Safety_of_care_national_comparison,Readmission_national_comparison,Patient_experience,Effectiveness_of_care_national_comparison,Timeliness_of_care_national_comparison,Efficient_use_of_medical_imaging_national_comparison,Rate_of_readmission_after_discharge,Denominator,Readmission_after_discharge_Score,Lower_Estimate,Higher_Estimate,Care_transition,Cleanliness,Communication_about_medicines,Discharge_information,Doctor_communication,Nurse_communication,Quietness,Staff_responsiveness
4257,440039,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,7841,15.2,14.6,15.9,4,2,3,3,4,4,3,3
4259,440046,TN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1417,16.1,15,17.4,3,3,3,3,3,4,4,4
4260,440048,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Worse Than the National Rate,10822,16.7,15.8,17.2,2,2,2,2,2,3,3,2
4261,440049,TN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Worse Than the National Rate,12490,17,15.9,17.5,3,2,3,3,3,4,4,3
4262,440050,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,347,15.5,14,17,2,1,2,3,2,2,2,3
4263,440053,TN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,4238,15.7,14.9,16.5,4,3,4,3,3,4,3,3
4264,440056,TN,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,543,15.4,14,16.8,2,3,3,3,4,3,4,2
4266,440058,TN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,No Different Than the National Rate,871,15.5,14.2,16.9,2,3,2,2,4,3,4,3
4267,440059,TN,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,4659,16.3,15.4,17,2,2,2,3,3,4,3,3
4270,440063,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3938,15.8,14.9,16.7,2,1,2,2,2,2,1,2
4271,440065,TN,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,440,15.4,14.1,16.9,4,3,4,4,3,4,3,4
4274,440072,TN,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Worse Than the National Rate,1319,17.6,15.9,18.8,2,1,2,2,1,3,2,3
4275,440073,TN,Acute Care Hospitals,Government - Local,Yes,4,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,3464,16,15.1,16.9,3,3,3,3,4,4,4,4
4276,440081,TN,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,802,16.6,15.2,18,3,3,2,3,4,3,4,3
4277,440082,TN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,5847,14.9,14.2,15.7,4,2,4,3,3,4,3,4
4278,440084,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,394,16.3,14.9,17.8,3,3,5,3,3,4,4,4
4279,440091,TN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Better Than the National Rate,7409,13.6,13,15.1,4,3,3,3,4,4,4,3
4280,440102,TN,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,294,14.7,13.1,16.4,3,4,5,4,4,4,5,4
4281,440104,TN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,6601,15.6,14.8,16.3,2,1,1,2,2,2,2,2
4283,440110,TN,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,591,15.7,14.2,17.2,3,3,3,3,4,4,3,4
4285,440120,TN,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,3011,15.4,14.4,16.5,3,2,3,3,3,4,4,3
4286,440125,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,2720,15.3,14.3,16.3,4,3,3,3,4,4,4,3
4287,440130,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,723,15,13.7,16.3,4,4,3,3,3,4,4,4
4289,440132,TN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1045,14.9,13.6,16.3,3,4,3,3,3,3,5,3
4290,440133,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2961,15.1,14.1,16.2,3,2,3,3,3,3,3,3
4292,440144,TN,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1076,15.6,14.3,17,2,2,1,2,2,2,3,3
4294,440150,TN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2912,16.4,15.4,17.4,3,2,3,3,2,3,3,2
4295,440151,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,466,15,13.6,16.6,2,3,3,4,3,2,3,3
4298,440156,TN,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2842,14.7,13.7,15.8,3,3,3,3,3,4,4,4
4300,440161,TN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,No Different Than the National Rate,5814,15.9,15.1,16.7,4,3,3,3,3,4,4,4
4301,440173,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,4747,15.5,14.6,16.5,3,3,3,3,3,4,4,3
4303,440176,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,627,15.9,14.5,17.3,2,4,2,3,3,3,3,2
4305,440183,TN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,2358,15.7,14.7,16.8,2,2,2,2,2,2,3,2
4306,440184,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,813,15.3,13.8,16.8,4,3,3,3,3,3,5,3
4307,440185,TN,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1736,15.5,14.5,16.7,2,1,2,3,3,3,4,3
4310,440193,TN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,748,14.8,13.5,16.2,2,1,1,3,2,2,3,2
4311,440194,TN,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1437,16,14.9,17.2,2,2,2,3,2,3,4,3
4312,440197,TN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,897,15.9,14.6,17.4,3,3,3,3,3,3,5,4
4315,440227,TN,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1068,16.7,15.3,18.1,4,3,3,3,3,4,4,4
4316,440228,TN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1993,14.7,13.7,15.8,3,2,4,2,2,3,4,4
4352,450002,TX,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,1286,15,13.9,16.2,2,2,3,3,3,2,3,2
4353,450007,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1486,14.7,13.5,15.9,4,4,3,5,3,4,4,4
4354,450010,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,No Different Than the National Rate,4566,15.1,14.4,15.9,4,4,3,4,3,4,5,4
4355,450011,TX,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3561,15.7,14.9,16.7,3,3,3,3,3,4,4,3
4356,450015,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,1435,15.9,14.8,17,3,3,3,3,3,2,3,2
4357,450018,TX,Acute Care Hospitals,Government - State,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,3628,16.4,15.5,17.3,3,4,2,2,2,3,4,2
4358,450021,TX,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,7342,14.9,14.2,15.6,3,2,3,3,3,4,4,2
4359,450023,TX,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Better Than the National Rate,1761,14.1,13.1,15.4,3,3,3,2,3,3,5,3
4361,450028,TX,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,1312,15.8,14.6,16.9,2,3,3,3,2,2,3,2
4362,450029,TX,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,2379,15,14,16,2,3,2,2,2,2,3,1
4363,450032,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Worse Than the National Rate,3797,17,15.8,17.8,3,3,4,3,2,4,4,3
4364,450033,TX,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,2594,15.9,15,16.9,2,3,4,3,2,3,3,3
4365,450034,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,3117,14.7,13.8,15.7,3,2,3,2,2,3,4,3
4366,450035,TX,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,564,16.2,14.7,17.7,1,2,2,1,2,2,4,1
4367,450039,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1298,16.1,14.9,17.2,2,2,3,3,2,3,2,3
4368,450040,TX,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,5463,15.5,14.8,16.2,3,2,3,3,3,3,4,3
4369,450042,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Better Than the National Rate,3756,14.3,13.5,15.4,4,3,4,4,4,4,4,4
4370,450044,TX,Acute Care Hospitals,Government - State,Yes,5,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,4549,16.3,15.5,17,4,3,4,4,4,4,5,3
4371,450046,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,3271,15.5,14.6,16.4,2,2,2,2,2,2,3,1
4372,450051,TX,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,1967,15.5,14.5,16.6,3,2,3,3,3,3,3,2
4373,450054,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,5805,15.7,14.9,16.4,4,3,3,3,3,4,4,3
4375,450056,TX,Acute Care Hospitals,Physician,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2918,15,14.1,16,3,2,4,4,3,3,3,3
4376,450058,TX,Acute Care Hospitals,Proprietary,Yes,4,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Better Than the National Rate,7837,14.5,13.9,15.4,3,3,3,3,2,3,3,3
4377,450064,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1877,16,14.9,17,3,3,2,3,3,3,4,3
4378,450068,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,4481,15.8,15,16.7,4,3,3,3,3,4,4,3
4379,450072,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,794,15.8,14.6,17.2,2,3,3,2,3,3,3,3
4381,450079,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1871,14.9,13.9,15.9,3,3,3,3,3,4,3,3
4382,450080,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,636,15.4,14.1,16.7,2,3,3,2,3,4,4,4
4384,450083,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Better Than the National Rate,5303,14.6,13.8,15.5,2,2,2,3,2,3,3,3
4386,450087,TX,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1415,15.4,14.2,16.5,2,4,3,2,2,3,3,4
4388,450092,TX,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,836,15,13.8,16.2,1,3,3,2,2,2,3,3
4389,450097,TX,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1264,16.8,15.6,18,2,3,3,2,2,2,3,3
4391,450101,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2324,15.5,14.5,16.6,4,2,3,3,4,4,5,3
4392,450102,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Better Than the National Rate,6863,14.1,13.5,15.3,3,3,3,3,3,4,4,2
4393,450104,TX,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,928,15.2,13.9,16.6,4,4,4,4,4,4,5,4
4394,450107,TX,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2510,16,15.1,16.9,2,3,3,3,2,3,3,3
4396,450119,TX,Acute Care Hospitals,Proprietary,Yes,4,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2946,16.1,15.2,17,2,3,3,2,2,2,3,2
4398,450128,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,1436,14.9,13.8,16,1,3,3,3,2,2,3,3
4399,450132,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,2782,15.5,14.6,16.4,2,2,2,2,2,2,3,2
4400,450133,TX,Acute Care Hospitals,Government - Local,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Better Than the National Rate,1933,13.7,12.7,15.2,2,2,2,2,3,2,4,2
4401,450135,TX,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,6707,15.4,14.8,16.1,3,2,2,3,2,3,3,3
4402,450137,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2709,15.4,14.5,16.3,3,1,2,3,3,3,3,2
4405,450147,TX,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,1928,14.7,13.7,15.8,3,3,3,3,3,3,4,3
4407,450152,TX,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,989,15.9,14.7,17.1,3,3,2,4,3,3,4,2
4412,450165,TX,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,358,14.9,13.3,16.6,4,4,4,3,3,3,5,4
4413,450176,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,1547,17.5,15.9,18.6,2,3,3,2,3,3,3,4
4414,450184,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,10169,15.6,15.1,16.2,3,3,3,3,3,3,3,3
4416,450193,TX,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,3649,15,14.2,15.8,3,1,2,2,4,3,3,2
4417,450194,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,194,15.2,13.5,16.9,3,3,4,3,3,4,4,4
4418,450196,TX,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2407,15.5,14.5,16.6,2,3,2,2,3,3,4,2
4419,450200,TX,Acute Care Hospitals,Physician,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1522,15.7,14.6,16.9,2,3,2,2,3,3,4,3
4420,450203,TX,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1388,16.2,15,17.3,3,3,3,3,3,4,4,3
4421,450209,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Better Than the National Rate,2231,14,13.1,15.4,3,2,3,3,2,2,3,3
4423,450211,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,1815,16.1,15,17.2,2,3,3,2,3,3,3,3
4424,450213,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2098,15.4,14.4,16.4,2,3,4,4,3,3,3,3
4426,450222,TX,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Worse Than the National Rate,2849,17.6,16,18.6,2,2,2,2,1,2,3,3
4427,450229,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Better Than the National Rate,4400,14,13.2,15.3,3,3,3,3,2,3,4,2
4428,450231,TX,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,5843,15.5,14.8,16.2,4,4,3,3,3,4,4,3
4430,450236,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,831,14.8,13.6,16.1,3,4,3,3,3,4,4,3
4431,450237,TX,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,5138,15.2,14.5,16,2,3,2,3,3,3,4,2
4434,450271,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1420,15.1,14.1,16.3,3,3,4,3,2,3,4,3
4435,450272,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,797,15.7,14.4,17.1,4,4,3,3,4,4,4,4
4436,450289,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,396,15.5,14,17,4,3,3,3,4,3,3,3
4437,450292,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,331,16.2,14.4,17.9,3,4,3,3,2,4,5,4
4438,450299,TX,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,618,16.1,14.7,17.5,2,2,2,2,3,3,4,2
4439,450324,TX,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Worse Than the National Rate,5455,17.4,16,18.1,3,3,4,3,2,3,4,3
4440,450330,TX,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,857,15.2,14,16.5,3,3,4,3,3,3,4,3
4441,450340,TX,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,955,16.2,14.7,17.6,3,3,3,3,4,4,4,4
4442,450346,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2370,16.2,15.2,17.2,3,2,3,2,2,3,3,2
4443,450347,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,866,15.8,14.5,17.1,1,2,2,3,3,3,2,2
4445,450351,TX,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,459,14.9,13.4,16.5,4,4,4,4,4,4,5,5
